(1, 133.4145)
(2, 156.5277)
(3, 178.1875)
(4, 179.8589)
(5, 231.7173)
(6, 264.7206)
(7, 305.6329)
(8, 324.7332)
(9, 361.9614)
(10, 407.8597)
(11, 434.0236)
(12, 459.5311)
(13, 475.9699)
(14, 515.5412)
(15, 579.6232)
(16, 630.6202)
(17, 685.9263)
(18, 793.3137)
(19, 853.7931)
(20, 891.2487)
(21, 925.9068)
(22, 971.4181)
(23, 1037.5867)
(24, 1105.5298)
(25, 1199.3968)
(26, 1257.3175)
(27, 1382.4543)
(28, 1478.6560)
(29, 1597.3157)
(30, 1671.9853)
(31, 1796.8907)
(32, 1876.2373)
(33, 1960.4568)
(34, 2045.7240)
(35, 2153.5904)
(36, 2253.3088)
(37, 2368.2295)
(38, 2480.4356)
(39, 2577.3838)
(40, 2724.8924)
(41, 2854.7601)
(42, 2959.2472)
(43, 3098.9826)
(44, 3226.0836)
(45, 3337.5262)
(46, 3447.8328)
(47, 3540.7813)
(48, 3643.1480)
(49, 3754.0605)
(50, 3871.0977)
(51, 4010.6785)
(52, 4117.2009)
(53, 4226.0753)
(54, 4334.5091)
(55, 4427.2084)
(56, 4554.8589)
(57, 4663.7619)
(58, 4801.3333)
(59, 4901.5105)
(60, 4993.5665)
(61, 5106.3821)
(62, 5193.9095)
(63, 5301.3492)
(64, 5412.2172)
(65, 5516.9371)
(66, 5625.8447)
(67, 5731.6119)
(68, 5834.4969)
(69, 5895.2383)
(70, 5980.6954)
(71, 6055.9050)
(72, 6133.8601)
(73, 6225.0745)
(74, 6303.3056)
(75, 6378.5031)
(76, 6489.0076)
(77, 6573.4033)
(78, 6646.9704)
(79, 6730.3677)
(80, 6799.8593)
(81, 6914.9378)
(82, 7024.0943)
(83, 7114.3166)
(84, 7177.4399)
(85, 7250.6144)
(86, 7342.0293)
(87, 7423.0281)
(88, 7485.9492)
(89, 7532.4896)
(90, 7598.0198)
(91, 7686.1825)
(92, 7773.3544)
(93, 7832.3125)
(94, 7911.6444)
(95, 7995.0166)
(96, 8080.1440)
(97, 8154.4905)
(98, 8195.4608)
(99, 8264.1555)
(100, 8335.5984)
(101, 8405.2578)
(102, 8478.9254)
(103, 8530.5846)
(104, 8584.5515)
(105, 8678.1224)
(106, 8770.7539)
(107, 8822.0287)
(108, 8902.9152)
(109, 8996.9624)
(110, 9062.4083)
(111, 9126.2968)
(112, 9207.7569)
(113, 9296.5007)
(114, 9396.5037)
(115, 9465.2807)
(116, 9516.9341)
(117, 9631.6133)
(118, 9689.7238)
(119, 9810.3405)
(120, 9926.0674)
(121, 10036.2933)
(122, 10115.0270)
(123, 10212.5302)
(124, 10289.9500)
(125, 10365.7812)
(126, 10446.8378)
(127, 10508.1728)
(128, 10587.9484)
(129, 10648.3462)
(130, 10703.7544)
(131, 10801.5198)
(132, 10895.1126)
(133, 10977.5252)
(134, 11067.1784)
(135, 11166.7698)
(136, 11244.2142)
(137, 11304.6393)
(138, 11379.1800)
(139, 11447.3484)
(140, 11507.3986)
(141, 11573.1371)
(142, 11668.8977)
(143, 11727.8690)
(144, 11798.7090)
(145, 11861.7496)
(146, 11946.0457)
(147, 12033.0367)
(148, 12108.1174)
(149, 12157.2120)
(150, 12232.6928)
(151, 12300.9094)
(152, 12349.8485)
(153, 12415.1092)
(154, 12488.1508)
(155, 12574.7646)
(156, 12704.3685)
(157, 12766.2257)
(158, 12832.2436)
(159, 12895.6744)
(160, 12952.2581)
(161, 12997.3467)
(162, 13060.0603)
(163, 13121.9444)
(164, 13191.6294)
(165, 13260.7166)
(166, 13372.8882)
(167, 13440.9682)
(168, 13502.0575)
(169, 13590.9315)
(170, 13651.8835)
(171, 13752.6200)
(172, 13807.9812)
(173, 13856.4842)
(174, 13914.9641)
(175, 13987.0314)
(176, 14025.6463)
(177, 14083.6618)
(178, 14154.0804)
(179, 14202.7981)
(180, 14270.6126)
(181, 14345.1938)
(182, 14398.4974)
(183, 14468.0607)
(184, 14522.1114)
(185, 14576.1411)
(186, 14628.7894)
(187, 14678.1885)
(188, 14720.5983)
(189, 14786.7862)
(190, 14840.4244)
(191, 14891.2599)
(192, 14932.4861)
(193, 14985.8704)
(194, 15024.9687)
(195, 15084.3283)
(196, 15141.3296)
(197, 15192.3841)
(198, 15240.9002)
(199, 15294.8972)
(200, 15327.7099)
(201, 15367.6909)
(202, 15400.5548)
(203, 15501.3933)
(204, 15559.8910)
(205, 15607.8349)
(206, 15665.6728)
(207, 15707.8536)
(208, 15763.8561)
(209, 15803.1233)
(210, 15849.2263)
(211, 15891.3463)
(212, 15934.4030)
(213, 15987.6444)
(214, 16016.8813)
(215, 16065.1404)
(216, 16109.9570)
(217, 16158.8628)
(218, 16206.3869)
(219, 16248.7835)
(220, 16295.1758)
(221, 16325.7599)
(222, 16359.9340)
(223, 16405.3593)
(224, 16470.1415)
(225, 16509.1058)
(226, 16560.6501)
(227, 16611.7015)
(228, 16650.9833)
(229, 16688.6638)
(230, 16738.8266)
(231, 16790.1771)
(232, 16828.8518)
(233, 16874.1355)
(234, 16913.0863)
(235, 16966.4968)
(236, 17009.5296)
(237, 17048.0557)
(238, 17079.1377)
(239, 17124.3939)
(240, 17148.2418)
(241, 17190.3688)
(242, 17232.9011)
(243, 17269.8644)
(244, 17302.6462)
(245, 17346.4465)
(246, 17386.7592)
(247, 17426.9321)
(248, 17463.6033)
(249, 17503.5398)
(250, 17547.1484)
(251, 17577.5620)
(252, 17614.7331)
(253, 17674.1365)
(254, 17731.2727)
(255, 17781.1637)
(256, 17832.9855)
(257, 17875.7157)
(258, 17901.6462)
(259, 17938.8753)
(260, 17967.9525)
(261, 17993.4077)
(262, 18029.0704)
(263, 18067.1279)
(264, 18114.1896)
(265, 18155.5007)
(266, 18196.6286)
(267, 18239.7231)
(268, 18273.1429)
(269, 18302.2732)
(270, 18334.8671)
(271, 18377.2647)
(272, 18414.7246)
(273, 18440.1586)
(274, 18465.5970)
(275, 18502.2357)
(276, 18528.1139)
(277, 18575.6332)
(278, 18606.5205)
(279, 18628.3769)
(280, 18652.2270)
(281, 18693.8802)
(282, 18721.7274)
(283, 18779.6954)
(284, 18806.7666)
(285, 18840.7290)
(286, 18867.3589)
(287, 18902.6043)
(288, 18943.8308)
(289, 18992.5420)
(290, 19023.9233)
(291, 19069.5509)
(292, 19093.8885)
(293, 19131.3060)
(294, 19159.5125)
(295, 19206.7020)
(296, 19231.6723)
(297, 19261.2995)
(298, 19284.9122)
(299, 19306.8047)
(300, 19336.6338)
(301, 19365.5249)
(302, 19410.6129)
(303, 19444.4355)
(304, 19463.9671)
(305, 19484.4611)
(306, 19509.9674)
(307, 19540.2912)
(308, 19571.8750)
(309, 19594.2467)
(310, 19632.8763)
(311, 19667.2751)
(312, 19704.4106)
(313, 19746.5921)
(314, 19768.2284)
(315, 19807.4388)
(316, 19825.7436)
(317, 19860.5388)
(318, 19889.2608)
(319, 19928.9120)
(320, 19972.0838)
(321, 20016.2312)
(322, 20037.4559)
(323, 20074.7338)
(324, 20106.5661)
(325, 20159.6365)
(326, 20229.0374)
(327, 20274.3270)
(328, 20316.5472)
(329, 20356.9191)
(330, 20387.8892)
(331, 20405.3052)
(332, 20427.3871)
(333, 20446.8532)
(334, 20477.2400)
(335, 20513.4976)
(336, 20561.5271)
(337, 20599.4774)
(338, 20632.3766)
(339, 20659.1338)
(340, 20688.4585)
(341, 20741.5753)
(342, 20765.8022)
(343, 20829.8014)
(344, 20863.2656)
(345, 20912.8210)
(346, 20964.0832)
(347, 21010.8318)
(348, 21032.5278)
(349, 21056.9803)
(350, 21083.4386)
(351, 21117.1711)
(352, 21166.9518)
(353, 21205.8281)
(354, 21247.8485)
(355, 21292.3639)
(356, 21314.6972)
(357, 21343.4955)
(358, 21397.1543)
(359, 21433.7707)
(360, 21478.2674)
(361, 21511.2850)
(362, 21535.5068)
(363, 21565.9798)
(364, 21586.7724)
(365, 21611.8839)
(366, 21637.2793)
(367, 21653.2426)
(368, 21694.6374)
(369, 21719.9320)
(370, 21761.8869)
(371, 21785.7251)
(372, 21811.8640)
(373, 21856.7877)
(374, 21891.5553)
(375, 21922.2436)
(376, 21955.3281)
(377, 21996.9932)
(378, 22028.9358)
(379, 22053.6183)
(380, 22099.5681)
(381, 22115.8182)
(382, 22141.9835)
(383, 22163.3713)
(384, 22190.3323)
(385, 22223.6051)
(386, 22238.8283)
(387, 22260.9019)
(388, 22281.5458)
(389, 22298.5212)
(390, 22314.8458)
(391, 22334.2575)
(392, 22408.0380)
(393, 22442.7452)
(394, 22467.0123)
(395, 22499.3116)
(396, 22528.9834)
(397, 22553.2843)
(398, 22579.6326)
(399, 22622.4692)
(400, 22648.0859)
(401, 22667.8336)
(402, 22684.5727)
(403, 22716.1333)
(404, 22735.5508)
(405, 22750.2758)
(406, 22775.5385)
(407, 22792.6495)
(408, 22840.4411)
(409, 22868.8416)
(410, 22895.7037)
(411, 22919.9160)
(412, 22965.3359)
(413, 22981.1378)
(414, 23002.6078)
(415, 23024.6624)
(416, 23047.1958)
(417, 23064.2140)
(418, 23086.1672)
(419, 23141.1871)
(420, 23153.6682)
(421, 23168.9596)
(422, 23191.3161)
(423, 23210.3043)
(424, 23249.9228)
(425, 23276.2170)
(426, 23297.7644)
(427, 23322.6369)
(428, 23345.9812)
(429, 23372.9889)
(430, 23388.0448)
(431, 23414.1424)
(432, 23455.0467)
(433, 23475.4533)
(434, 23511.3112)
(435, 23538.0539)
(436, 23557.2743)
(437, 23569.1074)
(438, 23597.2115)
(439, 23624.8407)
(440, 23645.7323)
(441, 23674.1204)
(442, 23712.2925)
(443, 23726.2197)
(444, 23738.6590)
(445, 23767.0714)
(446, 23809.0510)
(447, 23828.5698)
(448, 23847.1735)
(449, 23871.8516)
(450, 23898.9325)
(451, 23914.3981)
(452, 23940.5583)
(453, 23964.4477)
(454, 23987.1994)
(455, 23999.7439)
(456, 24058.6095)
(457, 24077.1573)
(458, 24103.9290)
(459, 24124.0487)
(460, 24162.2107)
(461, 24178.7865)
(462, 24204.1865)
(463, 24223.4616)
(464, 24248.0997)
(465, 24283.3145)
(466, 24351.0876)
(467, 24380.3942)
(468, 24408.7851)
(469, 24434.1666)
(470, 24467.9570)
(471, 24496.5060)
(472, 24513.5351)
(473, 24534.3274)
(474, 24550.0876)
(475, 24569.5607)
(476, 24596.6347)
(477, 24626.1864)
(478, 24668.6343)
(479, 24691.3511)
(480, 24739.4042)
(481, 24759.9146)
(482, 24785.7564)
